Source,Target,Type,Weight
VamPus,Peter Frølich,Directed,1
VamPus,Lene Westgaard-Halle,Directed,1
VamPus,Hårek Elvenes,Directed,1
VamPus,Rasmus JM Hansson,Directed,1
VamPus,Terje Aasland,Directed,1
VamPus,Helge Orten,Directed,1
VamPus,Tone Wilhelmsen,Directed,1
VamPus,Alfred Jens,Directed,1
VamPus,Lars Haltbrekken,Directed,1
VamPus,Sivert Bjørnstad,Directed,1
VamPus,Kathrine Kleveland,Directed,1
VamPus,Lene Vågslid,Directed,1
VamPus,Guri Melby,Directed,1
VamPus,Sandra Borch,Directed,1
VamPus,Kari Elisabeth Kaski,Directed,1
VamPus,Bjørnar Moxnes,Directed,1
VamPus,Roy Steffensen   roysteffensen,Directed,1
VamPus,Himanshu,Directed,1
VamPus,Espen Barth Eide,Directed,1
VamPus,M Tybring-Gjedde,Directed,1
VamPus,Sveinung Rotevatn,Directed,1
VamPus,Sveinung Stensland,Directed,1
VamPus,Per-Willy Amundsen,Directed,1
VamPus,Kamzy Gunaratnam,Directed,1
VamPus,Tina Bru,Directed,1
VamPus,Carl Ivar Hagen,Directed,1
VamPus,Mari Holm Lønseth,Directed,1
VamPus,Anniken Huitfeldt,Directed,1
VamPus,Bård Hoksrud,Directed,1
VamPus,Jan Tore Sanner,Directed,1
VamPus,Geir Pollestad,Directed,1
VamPus,Mudassar Kapur,Directed,1
VamPus,Linda H. Helleland,Directed,1
VamPus,Rigmor Aasrud,Directed,1
VamPus,Tage Pettersen,Directed,1
VamPus,Jonas Gahr Støre,Directed,1
VamPus,Ola Elvestuen,Directed,1
VamPus,Abid Raja,Directed,1
VamPus,Erlend Wiborg,Directed,1
VamPus,Nikolai Astrup,Directed,1
VamPus,AnetteTrettebergst.,Directed,1
VamPus,Henrik Asheim,Directed,1
VamPus,Audun Lysbakken,Directed,1
VamPus,Hadia Tajik,Directed,1
VamPus,Mímir Kristjánsson,Directed,1
VamPus,Erna Solberg,Directed,1
VamPus,Kjell Ingolf Ropstad,Directed,1
VamPus,Peter Frølich,Directed,1
VamPus,Lene Westgaard-Halle,Directed,1
VamPus,Hårek Elvenes,Directed,1
VamPus,Rasmus JM Hansson,Directed,1
VamPus,Terje Aasland,Directed,1
