Source,Target,Type,Weight
14687587,319228928,Directed,1
14687587,34656014,Directed,1
14687587,2645220702,Directed,1
14687587,951333086,Directed,1
14687587,26719515,Directed,1
14687587,819168234,Directed,1
14687587,1382743280,Directed,1
14687587,63425851,Directed,1
14687587,38260259,Directed,1
14687587,112871323,Directed,1
14687587,1103749050,Directed,1
14687587,23320712,Directed,1
14687587,21423985,Directed,1
14687587,34703909,Directed,1
14687587,18387289,Directed,1
14687587,86154361,Directed,1
14687587,333903537,Directed,1
14687587,38769939,Directed,1
14687587,473914976,Directed,1
14687587,30941476,Directed,1
14687587,19764533,Directed,1
14687587,19157451,Directed,1
14687587,195848365,Directed,1
14687587,37677256,Directed,1
14687587,26214264,Directed,1
14687587,218910852,Directed,1
14687587,204525639,Directed,1
14687587,279131939,Directed,1
14687587,28952277,Directed,1
14687587,221822662,Directed,1
14687587,29928571,Directed,1
14687587,101727020,Directed,1
14687587,27317182,Directed,1
14687587,26588415,Directed,1
14687587,32535843,Directed,1
14687587,63129578,Directed,1
14687587,20679622,Directed,1
14687587,20868447,Directed,1
14687587,30759351,Directed,1
14687587,45565446,Directed,1
14687587,20301193,Directed,1
14687587,37665779,Directed,1
14687587,34941106,Directed,1
14687587,22415635,Directed,1
14687587,20611702,Directed,1
14687587,16432083,Directed,1
14687587,18293645,Directed,1
14687587,319228928,Directed,1
14687587,34656014,Directed,1
14687587,2645220702,Directed,1
14687587,951333086,Directed,1
14687587,26719515,Directed,1
14687587,819168234,Directed,1
14687587,1382743280,Directed,1
14687587,63425851,Directed,1
14687587,38260259,Directed,1
14687587,112871323,Directed,1
14687587,1103749050,Directed,1
14687587,23320712,Directed,1
14687587,21423985,Directed,1
14687587,34703909,Directed,1
14687587,18387289,Directed,1
14687587,86154361,Directed,1
14687587,333903537,Directed,1
14687587,38769939,Directed,1
14687587,473914976,Directed,1
14687587,30941476,Directed,1
14687587,19764533,Directed,1
14687587,19157451,Directed,1
14687587,195848365,Directed,1
14687587,37677256,Directed,1
14687587,26214264,Directed,1
14687587,218910852,Directed,1
14687587,204525639,Directed,1
14687587,279131939,Directed,1
14687587,28952277,Directed,1
14687587,221822662,Directed,1
14687587,29928571,Directed,1
14687587,101727020,Directed,1
14687587,27317182,Directed,1
14687587,26588415,Directed,1
14687587,32535843,Directed,1
14687587,63129578,Directed,1
14687587,20679622,Directed,1
14687587,20868447,Directed,1
16432083,30759351,Directed,1
16432083,112871323,Directed,1
16432083,333903537,Directed,1
16432083,21423985,Directed,1
16432083,1551459979,Directed,1
16432083,28952277,Directed,1
16432083,2924816561,Directed,1
16432083,20679622,Directed,1
16432083,30941476,Directed,1
16432083,38769939,Directed,1
16432083,2645220702,Directed,1
16432083,819168234,Directed,1
16432083,473914976,Directed,1
16432083,29928571,Directed,1
16432083,26214264,Directed,1
16432083,225341716,Directed,1
16432083,319228928,Directed,1
16432083,101727020,Directed,1
16432083,204525639,Directed,1
16432083,34656014,Directed,1
16432083,221822662,Directed,1
16432083,20868447,Directed,1
16432083,27317182,Directed,1
16432083,34941106,Directed,1
16432083,63129578,Directed,1
16432083,37665779,Directed,1
16432083,32535843,Directed,1
16432083,45565446,Directed,1
16432083,22415635,Directed,1
16432083,28361716,Directed,1
16432083,19764533,Directed,1
16432083,19157451,Directed,1
16432083,14687587,Directed,1
16432083,18293645,Directed,1
18293645,26719515,Directed,1
18293645,2645220702,Directed,1
18293645,101727020,Directed,1
18293645,2924816561,Directed,1
18293645,26588415,Directed,1
18293645,23320712,Directed,1
18293645,1640414335,Directed,1
18293645,1551459979,Directed,1
18293645,951333086,Directed,1
18293645,319228928,Directed,1
18293645,21423985,Directed,1
18293645,34656014,Directed,1
18293645,473914976,Directed,1
18293645,34703909,Directed,1
18293645,26214264,Directed,1
18293645,273638217,Directed,1
18293645,221822662,Directed,1
18293645,26837025,Directed,1
18293645,24143353,Directed,1
18293645,27317182,Directed,1
18293645,37665779,Directed,1
18293645,63129578,Directed,1
18293645,34941106,Directed,1
18293645,39091525,Directed,1
18293645,39974570,Directed,1
18293645,29928571,Directed,1
18293645,45565446,Directed,1
18293645,20301193,Directed,1
18293645,30759351,Directed,1
18293645,38260259,Directed,1
18293645,20868447,Directed,1
18293645,41090452,Directed,1
18293645,18387289,Directed,1
18293645,19764533,Directed,1
18293645,32535843,Directed,1
18293645,19119226,Directed,1
18293645,22415635,Directed,1
18293645,20611702,Directed,1
18293645,21746816,Directed,1
18293645,14687587,Directed,1
18293645,16432083,Directed,1
18387289,279131939,Directed,1
18387289,24531620,Directed,1
18387289,295361148,Directed,1
18387289,101727020,Directed,1
18387289,333903537,Directed,1
18387289,42845459,Directed,1
18387289,1551459979,Directed,1
18387289,204525639,Directed,1
18387289,1033374143461425152,Directed,1
18387289,338369157,Directed,1
18387289,26588415,Directed,1
18387289,42042554,Directed,1
18387289,23320712,Directed,1
18387289,20679622,Directed,1
18387289,2605255273,Directed,1
18387289,30941476,Directed,1
18387289,24143353,Directed,1
18387289,32397331,Directed,1
18387289,63129578,Directed,1
18387289,195848365,Directed,1
18387289,319228928,Directed,1
