Source,Snppl,Target,Tnppl,Number
A,48,A,48,560
H,36,H,36,431
A,48,H,36,217
H,36,A,48,213
Sp,28,A,48,114
H,36,FrP,21,111
Sp,28,H,36,103
H,36,V,8,102
Sp,28,Sp,28,96
FrP,21,H,36,94
A,48,V,8,78
FrP,21,A,48,78
SV,13,A,48,73
A,48,SV,13,69
A,48,Sp,28,67
V,8,H,36,62
H,36,Sp,28,61
H,36,SV,13,59
SV,13,H,36,57
A,48,FrP,21,56
V,8,A,48,51
SV,13,SV,13,51
FrP,21,FrP,21,46
A,48,R,8,45
H,36,KrF,3,43
V,8,V,8,41
KrF,3,H,36,39
KrF,3,A,48,32
Sp,28,SV,13,32
H,36,R,8,32
Sp,28,V,8,27
V,8,FrP,21,26
FrP,21,V,8,26
A,48,KrF,3,25
Sp,28,FrP,21,25
FrP,21,Sp,28,24
R,8,A,48,23
SV,13,Sp,28,23
R,8,R,8,22
Sp,28,R,8,21
FrP,21,SV,13,21
SV,13,R,8,21
SV,13,V,8,20
A,48,MDG,3,19
MDG,3,A,48,19
SV,13,FrP,21,19
H,36,MDG,3,18
R,8,H,36,17
R,8,SV,13,17
V,8,Sp,28,16
V,8,SV,13,16
MDG,3,H,36,16
Sp,28,KrF,3,14
FrP,21,R,8,14
FrP,21,KrF,3,12
KrF,3,V,8,11
KrF,3,Sp,28,10
V,8,KrF,3,9
V,8,R,8,9
R,8,V,8,9
Sp,28,MDG,3,9
KrF,3,FrP,21,9
SV,13,KrF,3,9
KrF,3,SV,13,9
SV,13,MDG,3,9
MDG,3,V,8,8
FrP,21,MDG,3,7
V,8,MDG,3,6
MDG,3,SV,13,6
KrF,3,KrF,3,6
R,8,Sp,28,4
R,8,FrP,21,4
KrF,3,R,8,4
MDG,3,R,8,4
MDG,3,Sp,28,3
R,8,KrF,3,2
KrF,3,MDG,3,2
MDG,3,KrF,3,2
R,8,MDG,3,2
MDG,3,MDG,3,2
MDG,3,FrP,21,1
A,48,PF,1,0
PF,1,A,48,0
V,8,PF,1,0
PF,1,V,8,0
Sp,28,PF,1,0
PF,1,Sp,28,0
H,36,PF,1,0
PF,1,H,36,0
FrP,21,PF,1,0
PF,1,FrP,21,0
SV,13,PF,1,0
PF,1,SV,13,0
KrF,3,PF,1,0
PF,1,KrF,3,0
R,8,PF,1,0
PF,1,R,8,0
MDG,3,PF,1,0
PF,1,MDG,3,0
PF,1,PF,1,0
