Target,Source
14687587,20611702,4
14687587,473914976,1
14687587,34656014,2
14687587,234132789,2
16432083,,0
18293645,45565446,1
18387289,34941106,1
19119226,,0
19157451,38260259,3
19157451,19764533,2
19157451,333903537,3
19157451,204525639,1
19157451,34656014,1
19157451,30941476,6
19284826,30941476,1
19764533,473914976,1
19764533,20611702,21
19764533,86154361,2
19764533,63425851,1
19764533,21423985,1
20301193,32535843,2
20611702,333903537,3
20679622,473914976,1
20679622,63425851,1
20679622,21423985,3
20679622,30941476,1
20679622,38260259,1
20868447,21423985,2
21035347,20611702,66
21035347,333903537,2
21035347,234132789,4
21035347,86154361,4
21035347,38260259,5
21035347,244983461,1
21423985,,0
21746816,26708613,9
21746816,38260259,5
21746816,19764533,1
21746816,473914976,2
21746816,295361148,1
21746816,20868447,1
21746816,18387289,1
21746816,234132789,3
22415635,20868447,2
23320712,26719515,1
23320712,37677256,1
24143353,38260259,2
24143353,112871323,3
24143353,279131939,3
24143353,26719515,1
24143353,21746816,4
24143353,20301193,1
24143353,23320712,1
24143353,18293645,5
24531620,,0
26214264,19764533,3
26214264,234132789,3
26214264,361852315,1
26470805,,0
26588415,18387289,1
26588415,30759351,1
26588415,26837025,5
26588415,34941106,2
26588415,101727020,1
26588415,19764533,1
26708613,244983461,2
26708613,21746816,9
26708613,1382743280,3
26708613,333903537,7
26708613,34941106,1
26708613,524326247,1
26708613,26719515,1
26708613,30941476,1
26708613,16432083,2
26708613,295361148,2
26708613,204525639,1
26708613,19764533,2
26708613,473914976,1
26708613,22415635,1
26719515,30941476,1
26719515,38260259,4
26719515,333903537,4
26719515,45565446,5
26837025,3119889670,1
26837025,473914976,1
26837025,21746816,1
26837025,21423985,1
26837025,32535843,3
26837025,19764533,2
27317182,295361148,1
27317182,32535843,1
27317182,45565446,4
27317182,63425851,1
28361716,38260259,3
28361716,45565446,1
28361716,333903537,1
28952277,244983461,2
28952277,26708613,1
28952277,1382743280,1
28952277,32535843,1
29928571,112871323,1
29928571,204525639,3
29928571,333903537,2
30759351,295361148,1
30759351,18387289,1
30759351,20611702,26
30941476,225341716,1
30941476,63425851,1
30941476,234132789,1
30941476,45565446,1
30941476,20611702,3
31343887,26719515,1
31343887,19764533,1
31343887,34656014,4
31343887,38260259,11
31343887,838111239750447104,1
31343887,473914976,3
31343887,21746816,1
31343887,18387289,2
31343887,29928571,2
31343887,32535843,12
31343887,30759351,5
31343887,112871323,3
31343887,262164620,1
31343887,34703909,1
32397331,29928571,2
32397331,333903537,6
32397331,18387289,8
32397331,26719515,1
32397331,20611702,1
32397331,112871323,5
32397331,22415635,3
32397331,34656014,2
32397331,30941476,1
32397331,473914976,1
32397331,225341716,2
32397331,319228928,1
32397331,26837025,1
32535843,34656014,2
34656014,63425851,1
34656014,32535843,5
34656014,16432083,1
34656014,19764533,1
34656014,30941476,1
34656014,204525639,1
34703909,34656014,4
34703909,524326247,1
34703909,473914976,1
34703909,38260259,3
34703909,29928571,1
34703909,19764533,5
34703909,31343887,1
34703909,838111239750447104,2
34703909,1033374143461425152,1
34941106,19764533,2
34941106,38260259,11
36435082,36435082,2
37665779,333903537,2
37665779,319228928,2
37665779,21423985,3
37665779,524326247,1
37677256,,0
38260259,34941106,2
38769939,333903537,4
38769939,30941476,1
38769939,30759351,4
38769939,20868447,1
38769939,319228928,3
38769939,295361148,2
38769939,26837025,1
39091525,524326247,3
39091525,29928571,2
39091525,18293645,2
39091525,19764533,2
39091525,951333086,3
39091525,39091525,16
39091525,38260259,10
39091525,18387289,1
39091525,28361716,1
39974570,20611702,1
39974570,32535843,1
39974570,234132789,1
40516095,20611702,3
41090452,234132789,1
41090452,338369157,1
41090452,37665779,1
41090452,204525639,3
41090452,41090452,1
41090452,26214264,1
41352926,29928571,1
42042554,32535843,1
42042554,19764533,2
