,id,name,username,No_following,No_follower,No_tweet
0,14687587,VamPus,vampus,4372,29936,14821
1,16432083,Erna Solberg,erna_solberg,1482,345949,6593
2,18293645,Kjell Ingolf Ropstad,kjellingolf,1526,8674,6104
3,18387289,Kari Elisabeth Kaski,kariekas,1869,14156,11699
4,19119226,Masud Gharahkhani,MasudGh,1720,3345,1847
5,19157451,Sveinung Stensland,sveinungen,1440,3082,5187
6,19284826,Per Vidar Kjølmoen,kjolmoen,161,52,84
7,19764533,Sveinung Rotevatn,Rotevatn,2452,43838,37683
8,20301193,AnetteTrettebergst.,Trettebergstuen,1839,16954,4857
9,20611702,Mímir Kristjánsson,mimirk,965,46223,24000
10,20679622,Ola Elvestuen,olaelvestuen,373,7729,2265
11,20868447,Abid Raja,abidraja,5895,77349,16160
12,21035347,Marie Sneve,mariesneve,128,859,167
13,21423985,Guri Melby,gurimelby,2905,18456,7596
14,21746816,Åsmund Aukrust,AsmundAukrust,2464,4595,5281
15,22415635,Hadia Tajik,HadiaTajik,2254,120277,6851
16,23320712,Lene Vågslid,Lenev,925,3901,3284
17,24143353,Eva Kristin,evakristin,603,1333,23
18,24531620,Jon-Ivar Nygård,joinnyg,2416,3337,6214
19,26214264,Tina Bru,HoyreTina,1431,7898,4424
20,26470805,Marte Mjøs Persen,MarteMP,1964,4320,719
21,26588415,Rigmor Aasrud,rigmorap,1206,3591,939
22,26708613,Cecilie Myrseth,CecilieMyrseth,779,1550,2270
23,26719515,Terje Aasland,terjeaa,1218,3160,674
24,26837025,Kari Henriksen,karhenr,1552,2275,6636
25,27317182,Linda H. Helleland,Lindacath,3346,20173,6509
26,28361716,Lan Marie N. Berg,Lan_Marie,849,14156,1803
27,28952277,Bård Hoksrud,hoksrud,57,2827,73
28,29928571,Geir Pollestad,geirpo,2529,6246,8522
29,30759351,Erlend Wiborg,erlendwiborg,4613,5143,11475
30,30941476,M Tybring-Gjedde,MathildeTG,2321,9139,8458
31,31343887,Ole André Myhrvold,OleAnd,468,487,458
32,32397331,Eigil Knutsen,EigilKnutsen,1711,1928,2378
33,32535843,Tage Pettersen,tagep,6475,6511,18311
34,34656014,Lene Westgaard-Halle,LeneWestgaard,999,7608,20907
35,34703909,Sandra Borch,SandraNBorch,2075,8011,2998
36,34941106,Audun Lysbakken,audunlysbakken,5060,95675,17937
37,36435082,Lise Selnes,LiseSelnes,102,183,69
38,37665779,Henrik Asheim,Henrikasheim,1983,10193,2225
