Source,Target
VamPus,Mímir Kristjánsson
VamPus,Mímir Kristjánsson
VamPus,Mímir Kristjánsson
VamPus,Mímir Kristjánsson
VamPus,Espen Barth Eide
VamPus,Lene Westgaard-Halle
VamPus,Lene Westgaard-Halle
VamPus,Sofie Marhaug
VamPus,Sofie Marhaug
Erna Solberg,
Kjell Ingolf Ropstad,Nikolai Astrup
Kari Elisabeth Kaski,Audun Lysbakken
Masud Gharahkhani,
Sveinung Stensland,Lars Haltbrekken
Sveinung Stensland,Lars Haltbrekken
Sveinung Stensland,Lars Haltbrekken
Sveinung Stensland,Sveinung Rotevatn
Sveinung Stensland,Sveinung Rotevatn
Sveinung Stensland,Roy Steffensen   roysteffensen
Sveinung Stensland,Roy Steffensen   roysteffensen
Sveinung Stensland,Mari Holm Lønseth
Sveinung Stensland,Lene Westgaard-Halle
Sveinung Stensland,M Tybring-Gjedde
Sveinung Stensland,M Tybring-Gjedde
Sveinung Stensland,M Tybring-Gjedde
Sveinung Stensland,M Tybring-Gjedde
Sveinung Stensland,M Tybring-Gjedde
Sveinung Stensland,M Tybring-Gjedde
Sveinung Stensland,Roy Steffensen   roysteffensen
Per Vidar Kjølmoen,M Tybring-Gjedde
Sveinung Rotevatn,Espen Barth Eide
Sveinung Rotevatn,Mímir Kristjánsson
Sveinung Rotevatn,Mímir Kristjánsson
Sveinung Rotevatn,Mímir Kristjánsson
Sveinung Rotevatn,Bjørnar Moxnes
Sveinung Rotevatn,Bjørnar Moxnes
Sveinung Rotevatn,Mímir Kristjánsson
Sveinung Rotevatn,Mímir Kristjánsson
Sveinung Rotevatn,Mímir Kristjánsson
Sveinung Rotevatn,Mímir Kristjánsson
Sveinung Rotevatn,Mímir Kristjánsson
Sveinung Rotevatn,Mímir Kristjánsson
Sveinung Rotevatn,Mímir Kristjánsson
Sveinung Rotevatn,Mímir Kristjánsson
Sveinung Rotevatn,Mímir Kristjánsson
Sveinung Rotevatn,Mímir Kristjánsson
Sveinung Rotevatn,Mímir Kristjánsson
Sveinung Rotevatn,Mímir Kristjánsson
Sveinung Rotevatn,Mímir Kristjánsson
Sveinung Rotevatn,Mímir Kristjánsson
Sveinung Rotevatn,Mímir Kristjánsson
Sveinung Rotevatn,Mímir Kristjánsson
Sveinung Rotevatn,Mímir Kristjánsson
Sveinung Rotevatn,Mímir Kristjánsson
Sveinung Rotevatn,Alfred Jens
Sveinung Rotevatn,Guri Melby
AnetteTrettebergst.,Tage Pettersen
AnetteTrettebergst.,Tage Pettersen
Mímir Kristjánsson,Roy Steffensen   roysteffensen
Mímir Kristjánsson,Roy Steffensen   roysteffensen
Mímir Kristjánsson,Roy Steffensen   roysteffensen
Ola Elvestuen,Espen Barth Eide
Ola Elvestuen,Alfred Jens
Ola Elvestuen,Guri Melby
Ola Elvestuen,Guri Melby
Ola Elvestuen,Guri Melby
Ola Elvestuen,M Tybring-Gjedde
Ola Elvestuen,Lars Haltbrekken
Abid Raja,Guri Melby
Abid Raja,Guri Melby
Marie Sneve,Mímir Kristjánsson
Marie Sneve,Mímir Kristjánsson
Marie Sneve,Mímir Kristjánsson
Marie Sneve,Mímir Kristjánsson
Marie Sneve,Mímir Kristjánsson
Marie Sneve,Mímir Kristjánsson
Marie Sneve,Mímir Kristjánsson
Marie Sneve,Mímir Kristjánsson
Marie Sneve,Mímir Kristjánsson
